type,ref,date,title,summary,lead_member,lead_members_party,department,MNIS_id,gender,constituency
Adjournment debates,691 cc1026-1034,2021-03-24,Waste Incinerators,"Motion lapsed. Motion made and Question proposed, that this House do now adjourn. Agreed to on question.","Moore, Robbie",Conservative Party,"Department for Environment, Food and Rural Affairs",4861,M,Keighley
Adjournment debates,691 cc892-7,2021-03-23,ANPR and Width Restrictions,Agreed to on question.,"Russell, Dean",Conservative Party,Department for Transport,4812,M,Watford
Adjournment debates,691 cc749-757,2021-03-22,Health and Safety Regulations: Cranes,Agreed to on question.,"Begum, Apsana",Labour Party,Department for Work and Pensions,4790,F,Poplar and Limehouse
Adjournment debates,691 cc592-600,2021-03-18,Public Landmarks Review,"Motion lapsed. Motion made and Question proposed, that this House do now adjourn. Agreed to on question.","Bacon, Gareth",Conservative Party,"Ministry of Housing, Communities and Local Government",4798,M,Orpington
Adjournment debates,691 cc441-450,2021-03-17,Transport for the North: Funding,Agreed to on question.,"Johnson, Diana",Labour Party,Department for Transport,1533,F,Kingston upon Hull North
Adjournment debates,691 cc277-285,2021-03-16,Scotland Act 1998: Scottish Civil Service,Agreed to on question.,"Davis, David",Conservative Party,Scotland Office,373,M,Haltemprice and Howden
Adjournment debates,691 cc133-140,2021-03-15,UK Renewables: Critical Minerals,Agreed to on question.,"Stafford, Alexander",Conservative Party,"Department for Business, Energy and Industrial Strategy",4866,M,Rother Valley
Adjournment debates,690 cc1207-1214,2021-03-12,National Carers Strategy,Agreed to on question.,"Keeley, Barbara",Labour Party,Department of Health and Social Care,1588,F,Worsley and Eccles South
Adjournment debates,690 cc1113-1121,2021-03-11,Concussion in Sport,Agreed to on question.,"Bryant, Chris",Labour Party,"Department for Digital, Culture, Media and Sport",1446,M,Rhondda
Adjournment debates,690 cc1386-978,2021-03-10,Nord Stream 2 Pipeline,Agreed to on question.,"Kawczynski, Daniel",Conservative Party,"Foreign, Commonwealth and Development Office",1566,M,Shrewsbury and Atcham
Adjournment debates,690 cc824-6,2021-03-09,Covid-19: Workplace Protection,Agreed to on question.,"Madders, Justin",Labour Party,"Department for Business, Energy and Industrial Strategy",4418,M,Ellesmere Port and Neston
Adjournment debates,690 cc627-634,2021-03-08,Disused Mineworks in Skewen: Flooding,Agreed to on question.,"Kinnock, Stephen",Labour Party,"Department for Business, Energy and Industrial Strategy",4359,M,Aberavon
Adjournment debates,690 cc495-500,2021-03-04,British Council and the Integrated Review,Agreed to on question.,"Baron, John",Conservative Party,"Foreign, Commonwealth and Development Office",1390,M,Basildon and Billericay
Adjournment debates,690 cc356-364,2021-03-03,Sexual Offences Act 2003: Positions of Trust,Agreed to on question.,"Champion, Sarah",Labour Party,Ministry of Justice,4267,F,Rotherham
Adjournment debates,690 cc223-230,2021-03-02,Covid-19: Statutory Sick Pay,Agreed to on question.,"Burgon, Richard",Labour Party,Department for Work and Pensions,4493,M,Leeds East
Adjournment debates,690 cc87-92,2021-03-01,Fire Safety Remediation: Leaseholders,Agreed to on question.,"Morgan, Stephen",Labour Party,"Ministry of Housing, Communities and Local Government",4653,M,Portsmouth South
Adjournment debates,689 c1210,2021-02-25,Alcohol Duty,Agreed to on question.,"Ross, Douglas",Conservative Party,Treasury,4627,M,Moray
Adjournment debates,689 cc1047-1054,2021-02-24,Oxford West and Abingdon: Flooding,Agreed to on question.,"Moran, Layla",Liberal Democrats,"Department for Environment, Food and Rural Affairs",4656,F,Oxford West and Abingdon
Adjournment debates,689 cc875-881,2021-02-23,Death of PC Yvonne Fletcher,Agreed to on question.,"Stewart, Bob",Conservative Party,Home Office,3919,M,Beckenham
Adjournment debates,689 c742,2021-02-22,Terminally Ill People: Access to Benefits,Agreed to on question.,"Morden, Jessica",Labour Party,Department for Work and Pensions,1548,F,Newport East
Adjournment debates,689 cc596-604,2021-02-11,Covid-19: Faith Groups,Agreed to on question.,"Timms, Stephen",Labour Party,"Ministry of Housing, Communities and Local Government",163,M,East Ham
Adjournment debates,689 cc432-440,2021-02-10,Eden Project North,Agreed to on question.,"Morris, David",Conservative Party,"Ministry of Housing, Communities and Local Government",4135,M,Morecambe and Lunesdale
Adjournment debates,689 cc282-290,2021-02-09,Climate and Ecological Emergency: UK’s Response,Agreed to on question.,"Lucas, Caroline",Green Party,"Department for Business, Energy and Industrial Strategy",3930,F,"Brighton, Pavilion"
Adjournment debates,689 c134,2021-02-08,Covid-19: Zoos and Aquariums,Agreed to on question.,"Hardy, Emma",Labour Party,"Department for Environment, Food and Rural Affairs",4645,F,Kingston upon Hull West and Hessle
Adjournment debates,688 cc1208-1214,2021-02-04,Driving Tests: High Wycombe,Agreed to on question.,"Baker, Steve",Conservative Party,Department for Transport,4064,M,Wycombe
Adjournment debates,688 cc1057-1067,2021-02-03,Bereavement,Agreed to on question.,"Morris, Grahame",Labour Party,"Department for Business, Energy and Industrial Strategy",3973,M,Easington
Adjournment debates,688 cc925-932,2021-02-02,Deportation of Foreign National Offenders,"Motion lapsed. Motion made and question proposed, that this House do now adjourn. Agreed to on question.","Clarke, Simon",Conservative Party,Home Office,4655,M,Middlesbrough South and East Cleveland
Adjournment debates,688 cc788-795,2021-02-01,Cultural Centres and Sporting Facilities: North West Durham,Agreed to on question.,"Holden, Richard",Conservative Party,"Department for Digital, Culture, Media and Sport",4813,M,North West Durham
Adjournment debates,688 c662,2021-01-28,Covid-19: Extension of Driving Theory Test Certificates,Agreed to on question.,"Linden, David",Scottish National Party,Department for Transport,4640,M,Glasgow East
Adjournment debates,688 cc496-505,2021-01-27,Golf Tourism,Agreed to on question.,"Chamberlain, Wendy",Liberal Democrats,"Department for Digital, Culture, Media and Sport",4765,F,North East Fife
Adjournment debates,688 cc335-9,2021-01-26,Detention of Anoosheh Ashoori in Iran,Agreed to on question.,"Daby, Janet",Labour Party,"Foreign, Commonwealth and Development Office",4698,F,Lewisham East
Adjournment debates,688 cc131-9,2021-01-25,Covid-19: Limited Company Directors,Agreed to on question.,"Thompson, Owen",Scottish National Party,Treasury,4482,M,Midlothian
Adjournment debates,687 cc1217-1226,2021-01-21,Extradition Act 2003,"Motion lapsed. Motion made and Question proposed, that this House do now adjourn. Agreed to on question.","Davis, David",Conservative Party,Home Office,373,M,Haltemprice and Howden
Adjournment debates,687 cc1088-1091,2021-01-20,Building Safety Fund,Agreed to on question. Sitting adjourned without the debate taking place due to technical issues.,"Morgan, Stephen",Labour Party,NA,4653,M,Portsmouth South
Adjournment debates,687 cc919-925,2021-01-19,Animal Charities: Covid-19,Agreed to on question.,"Amess, David",Conservative Party,"Department for Environment, Food and Rural Affairs",44,M,Southend West
Adjournment debates,687 c737,2021-01-18,Covid-19: Schools,Agreed to on question.,"Thomas, Derek",Conservative Party,Department for Education,4532,M,St Ives
Adjournment debates,687 cc593-9,2021-01-14,Vitamin D: Covid-19,Agreed to on question.,"Davis, David",Conservative Party,Department of Health and Social Care,373,M,Haltemprice and Howden
Adjournment debates,687 cc445-451,2021-01-13,Small Business Support: Covid-19,Agreed to on question.,"Jardine, Christine",Liberal Democrats,Treasury,4634,F,Edinburgh West
Adjournment debates,687 cc267-274,2021-01-12,South Downs National Park: 10th Anniversary,Agreed to on question.,"Griffith, Andrew",Conservative Party,"Department for Environment, Food and Rural Affairs",4874,M,Arundel and South Downs
Adjournment debates,687 cc129-138,2021-01-11,Supporting the UK’s Social Fabric,Agreed to on question.,"Cruddas, Jon",Labour Party,"Department for Digital, Culture, Media and Sport",1406,M,Dagenham and Rainham
Adjournment debates,686 cc495-501,2020-12-17,Free Sanitary Products in Schools,Agreed to on question.,"Cadbury, Ruth",Labour Party,Department for Education,4389,F,Brentford and Isleworth
Adjournment debates,686 cc353-364,2020-12-16,Border Carbon Adjustment Tariffs and Decarbonisation,Agreed to on question.,"Mayhew, Jerome",Conservative Party,"Department for Business, Energy and Industrial Strategy",4739,M,Broadland
Adjournment debates,686 cc229-236,2020-12-15,National Trust: 125th Anniversary,Agreed to on question.,"Thomas, Derek",Conservative Party,"Department for Digital, Culture, Media and Sport",4532,M,St Ives
Adjournment debates,686 cc878-120,2020-12-14,Dark Skies,Agreed to on question.,"Griffith, Andrew",Conservative Party,"Ministry of Housing, Communities and Local Government",4874,M,Arundel and South Downs
Adjournment debates,685 cc1101-72,2020-12-10,Encouragement of Terrorism Offences,Agreed to on question.,"Lockhart, Carla",Democratic Unionist Party,Home Office,4857,F,Upper Bann
Adjournment debates,685 cc947-953,2020-12-09,Local Government Finance: Croydon,Agreed to on question.,"Simmonds, David",Conservative Party,"Ministry of Housing, Communities and Local Government",4872,M,"Ruislip, Northwood and Pinner"
Adjournment debates,685 cc807-285,2020-12-08,Arrest of Egyptian Human Rights Advocates,Agreed to on question.,"Ali, Rushanara",Labour Party,"Foreign, Commonwealth and Development Office",4138,F,Bethnal Green and Bow
Adjournment debates,685 c681,2020-12-07,Kenyan Civil Service Pensions: Non-payment,"Motion lapsed. Motion made and question proposed, that this House do now adjourn. Agreed to on question.","Timms, Stephen",Labour Party,"Foreign, Commonwealth and Development Office",163,M,East Ham
Adjournment debates,685 cc539-544,2020-12-03,Orwell Bridge Closures during High Winds,Agreed to on question.,"Hunt, Tom",Conservative Party,Department for Transport,4771,M,Ipswich
Adjournment debates,685 cc379-397,2020-12-02,Coronation Street: 60th Anniversary,Agreed to on question.,"Brabin, Tracy",Labour Party; Cooperative Party,"Department for Digital, Culture, Media and Sport",NA,NA,NA
Adjournment debates,685 cc280-290,2020-12-01,HIV Commission,Agreed to on question.,"Brine, Steve",Conservative Party,Department of Health and Social Care,4067,M,Winchester
Adjournment debates,685 cc127-134,2020-11-30,Statutory Paid Bereavement Leave: Loss of Family Member,Agreed to on question.,"Gibson, Patricia",Scottish National Party,"Department for Business, Energy and Industrial Strategy",4435,F,North Ayrshire and Arran
Adjournment debates,684 cc1087-1096,2020-11-26,Hydrogen Transport,Agreed to on question.,"Stafford, Alexander",Conservative Party,Department for Transport,4866,M,Rother Valley
Adjournment debates,684 cc932-941,2020-11-25,Mental Health Support: Policing,Agreed to on question.,"Smith, Greg",Conservative Party,Home Office,4778,M,Buckingham
Adjournment debates,684 cc797-803,2020-11-24,HMP Frankland: Covid-19,Agreed to on question.,"Foy, Mary Kelly",Labour Party,Ministry of Justice,4753,F,City of Durham
Adjournment debates,684 cc661-670,2020-11-23,Persecution of Ahmadis,Agreed to on question.,"Ahmad Khan, Imran",Conservative Party,"Foreign, Commonwealth and Development Office",4841,M,Wakefield
Adjournment debates,684 cc571-6,2020-11-19,Independent Reconfiguration Panel,Agreed to on question.,"McDonagh, Siobhain",Labour Party,Department of Health and Social Care,193,F,Mitcham and Morden
Adjournment debates,684 cc305-440,2020-11-18,Solar Flares and Electricity Grid Reliance,Agreed to on question.,"Maynard, Paul",Conservative Party,"Department for Business, Energy and Industrial Strategy",3926,M,Blackpool North and Cleveleys
Adjournment debates,684 cc259-293,2020-11-17,Cleveland Bridge: Weight Limit,"Motion lapsed. Motion made and Question proposed, that this House do now adjourn. Agreed to on question.","Hobhouse, Wera",Liberal Democrats,Department for Transport,4602,F,Bath
Adjournment debates,684 cc139-149,2020-11-16,Leaseholders and Cladding: Greenwich and Woolwich,Motion lapsed. Motion that this House do now adjourn. Agreed to on question.,"Pennycook, Matthew",Labour Party,"Ministry of Housing, Communities and Local Government",4520,M,Greenwich and Woolwich
Adjournment debates,683 cc1155-1088,2020-11-12,Peterborough United: Covid-19,Agreed to on question.,"Vara, Shailesh",Conservative Party,"Department for Digital, Culture, Media and Sport",1496,M,North West Cambridgeshire
Adjournment debates,683 cc881-1030,2020-11-11,Coventry Blitz: 80th Anniversary,Agreed to on question.,"Fletcher, Colleen",Labour Party,Ministry of Defence,4378,F,Coventry North East
Adjournment debates,683 cc867-872,2020-11-10,Safety and Littering: A34 and A420,Agreed to on question.,"Johnston, David",Conservative Party,Department for Transport,4761,M,Wantage
Adjournment debates,683 c710,2020-11-09,Small Breweries Relief,Agreed to on question.,"Saville Roberts, Liz",Plaid Cymru,Treasury,4521,F,Dwyfor Meirionnydd
Adjournment debates,683 cc577-728,2020-11-05,Offshore Wind Transmission Connections,"Motion lapsed. Motion made and Question proposed, that this House do now adjourn. Agreed to on question.","Baker, Duncan",Conservative Party,"Department for Business, Energy and Industrial Strategy",4784,M,North Norfolk
Adjournment debates,683 cc1249-446,2020-11-04,Covid-19: Emergency Transport and Travel Measures in London Boroughs,Agreed to on question,"Huq, Rupa",Labour Party,Department for Transport,4511,F,Ealing Central and Acton
Adjournment debates,683 cc287-295,2020-11-03,Housing: North Somerset,Agreed to on question.,"Fox, Liam",Conservative Party,"Ministry of Housing, Communities and Local Government",223,M,North Somerset
Adjournment debates,683 cc698-140,2020-11-02,Covid-19: Support for Rugby League,Agreed to on question.,"Cooper, Yvette",Labour Party,"Department for Digital, Culture, Media and Sport",420,F,"Normanton, Pontefract and Castleford"
Adjournment debates,682 cc1420-7,2020-10-23,London’s Economic Recovery: Covid-19,Agreed to on question.,"Buchan, Felicity",Conservative Party,"Ministry of Housing, Communities and Local Government",4821,F,Kensington
Adjournment debates,682 cc1339-1047,2020-10-22,Down Syndrome Awareness Month,Agreed to on question.,"Cameron, Lisa",Scottish National Party,Department of Health and Social Care,4412,F,"East Kilbride, Strathaven and Lesmahagow"
Adjournment debates,682 cc1179-1186,2020-10-21,Hedge End Train Station: Accessibility,Agreed to on question.,"Holmes, Paul",Conservative Party,Department for Transport,4803,M,Eastleigh
Adjournment debates,682 cc1035-1042,2020-10-20,Remote Education: Self-isolating Pupils,Agreed to on question.,"McDonagh, Siobhain",Labour Party,Department for Education,193,F,Mitcham and Morden
Adjournment debates,682 cc871-881,2020-10-19,Vaccine Misinformation Online,Agreed to on question.,"Elmore, Chris",Labour Party,"Department for Digital, Culture, Media and Sport",4572,M,Ogmore
Adjournment debates,682 c734,2020-10-16,Care Quality Commission: Deaths in Mental Health Facilities,Agreed to on question.,"Cartlidge, James",Conservative Party,Department of Health and Social Care,4519,M,South Suffolk
Adjournment debates,682 cc645-4,2020-10-15,Ministry of Defence Tenants: Evictions,Agreed to on question.,"Crabb, Stephen",Conservative Party,Ministry of Defence,1554,M,Preseli Pembrokeshire
Adjournment debates,682 cc482-497,2020-10-14,Electricity Generation: Local Suppliers,Agreed to on question.,"Lake, Ben",Plaid Cymru,"Department for Business, Energy and Industrial Strategy",4630,M,Ceredigion
Adjournment debates,682 c346,2020-10-13,Women’s Rugby: Government Support,Agreed to on question.,"Jones, Fay",Conservative Party,"Department for Digital, Culture, Media and Sport",4763,F,Brecon and Radnorshire
Adjournment debates,682 cc129-134,2020-10-12,Queen Mary’s Hospital: Urgent Care Services,"Motion lapsed. Motion made and question proposed, that this House do now adjourn. Agreed to on question.","Anderson, Fleur",Labour Party,Department of Health and Social Care,4788,F,Putney
Adjournment debates,681 cc1135-1142,2020-10-08,Universal Service Obligation for Broadband,Agreed to on question.,"Timpson, Edward",Conservative Party,"Department for Digital, Culture, Media and Sport",1605,M,Eddisbury
Adjournment debates,681 cc993-1002,2020-10-07,Policing in South-West London,Agreed to on question.,"Olney, Sarah",Liberal Democrats,Home Office,4591,F,Richmond Park
Adjournment debates,681 cc42-881,2020-10-06,Shotley Bridge Community Hospital,"Motion lapsed (Standing Order No.9 (3)). Motion made and Question proposed,  that this House do now adjourn. Agreed to on question.","Holden, Richard",Conservative Party,Department of Health and Social Care,4813,M,North West Durham
Adjournment debates,681 cc381-721,2020-10-05,Unduly Lenient Sentence Scheme,"Motion lapsed. Motion made and question proposed, that this House do now adjourn. Agreed to on question.","Anderson, Lee",Conservative Party,Attorney General,4743,M,Ashfield
Adjournment debates,681 cc579-687,2020-10-01,Fly-tipping: Penalties,Agreed to on question.,"Bristow, Paul",Conservative Party,"Department for Environment, Food and Rural Affairs",4792,M,Peterborough
Adjournment debates,681 cc455-464,2020-09-30,Flooding Preparedness: Yorkshire,Agreed to on question.,"Jarvis, Dan",Labour Party,"Department for Environment, Food and Rural Affairs",4243,M,Barnsley Central
Adjournment debates,681 cc1184-675,2020-09-29,Flexible Rail Ticketing,Agreed to on question.,"Clark, Greg",Conservative Party,Department for Transport,1578,M,Tunbridge Wells
Adjournment debates,681 cc132-4,2020-09-28,Fracking: Rother Valley,Agreed to on question.,"Stafford, Alexander",Conservative Party,"Department for Business, Energy and Industrial Strategy",4866,M,Rother Valley
Adjournment debates,680 cc1324-8,2020-09-25,Public Statues,Agreed to on question.,"Amess, David",Conservative Party,"Department for Digital, Culture, Media and Sport",44,M,Southend West
Adjournment debates,680 cc1237-47,2020-09-24,NHS Hysteroscopy Treatment,Agreed to on question.,"Brown, Lyn",Labour Party,Department of Health and Social Care,1583,F,West Ham
Adjournment debates,680 cc1077-1082,2020-09-23,Secondary School Provision: Lyde Green,Agreed to on question.,"Skidmore, Chris",Conservative Party,Department for Education,4021,M,Kingswood
Adjournment debates,680 cc52-8,2020-09-22,Grassroots Arts and Culture: Luton,Agreed to on question.,"Hopkins, Rachel",Labour Party,"Department for Digital, Culture, Media and Sport",4873,F,Luton South
Adjournment debates,680 cc765-773,2020-09-21,ARM: Foreign Acquisition,Agreed to on question.,"Zeichner, Daniel",Labour Party,"Department for Digital, Culture, Media and Sport",4382,M,Cambridge
Adjournment debates,680 cc595-1249,2020-09-17,Axial Spondyloarthritis,Agreed to on question.,"Randall, Tom",Conservative Party,Department of Health and Social Care,4845,M,Gedling
Adjournment debates,680 cc450-9,2020-09-16,Misogyny in Sport,Agreed to on question.,"Davies-Jones, Alex",Labour Party,"Department for Digital, Culture, Media and Sport",4849,F,Pontypridd
Adjournment debates,680 cc281-8,2020-09-15,Michelham Priory,"Motion lapsed. Motion made and Question proposed, that this House do now adjourn. Agreed to on question.","Ghani, Nusrat",Conservative Party,"Department for Environment, Food and Rural Affairs",4460,F,Wealden
Adjournment debates,680 cc1106-155,2020-09-14,UK Steel Industry,House adjourned without Question put.,"Morden, Jessica",Labour Party,"Department for Business, Energy and Industrial Strategy",1548,F,Newport East
Adjournment debates,679 cc962-971,2020-09-11,Child Cruelty Offences: Sentencing,House adjourned without Question put.,"Tugendhat, Tom",Conservative Party,Ministry of Justice,4462,M,Tonbridge and Malling
Adjournment debates,679 cc1926-650,2020-09-10,Manchester Piccadilly to Rose Hill Marple Trains,Agreed to on question.,"Wragg, William",Conservative Party,Department for Transport,4429,M,Hazel Grove
Adjournment debates,679 cc1436-808,2020-09-09,Detention of Uyghur Muslims in Xinjiang,Agreed to on question.,"Mahmood, Shabana",Labour Party,Foreign and Commonwealth Office,3914,F,"Birmingham, Ladywood"
Adjournment debates,679 cc584-595,2020-09-08,History Curriculum: Black History,Agreed to on question.,"Villiers, Theresa",Conservative Party,Department for Education,1500,F,Chipping Barnet
Adjournment debates,679 cc457-473,2020-09-07,Housing Developments: West Sussex,Agreed to on question.,"Griffith, Andrew",Conservative Party,"Ministry of Housing, Communities and Local Government",4874,M,Arundel and South Downs
Adjournment debates,679 cc339-344,2020-09-03,South China Sea: Freedom of Navigation,Agreed to on question.,"Bowie, Andrew",Conservative Party,Foreign and Commonwealth Office,4601,M,West Aberdeenshire and Kincardine
Adjournment debates,679 cc254-269,2020-09-02,Regulatory Impact Assessments (Legislative Scrutiny),Agreed to on question.,"Chope, Christopher",Conservative Party,"Department for Business, Energy and Industrial Strategy",242,M,Christchurch
Adjournment debates,679 cc131-9,2020-09-01,Radlett Airfield Site,Agreed to on question.,"Cooper, Daisy",Liberal Democrats,"Ministry of Housing, Communities and Local Government",4769,F,St Albans
Adjournment debates,678 cc2261-8,2020-07-22,Southern Heathrow Rail Link,Agreed to on question/,"Richardson, Angela",Conservative Party,Department for Transport,4840,F,Guildford
Adjournment debates,678 cc2118-2128,2020-07-21,Misuse of Nitrous Oxide,Agreed to on question.,"Duffield, Rosie",Labour Party,Home Office,4616,F,Canterbury
Adjournment debates,678 c1973,2020-07-20,Endangered Species: Developing Countries,Agreed to on question.,"Grayling, Chris",Conservative Party,Foreign and Commonwealth Office,1413,M,Epsom and Ewell
Adjournment debates,678 cc1802-9,2020-07-16,Historic Churches: Covid-19,Agreed to on question.,"Shannon, Jim",Democratic Unionist Party,"Department for Digital, Culture, Media and Sport",4131,M,Strangford
Adjournment debates,678 cc1637-1644,2020-07-15,Railway Station: Gamesley,Agreed to on question.,"Largan, Robert",Conservative Party,Department for Transport,4852,M,High Peak
Adjournment debates,678 cc1485-1494,2020-07-14,Flammable Cladding Removal,Agreed to on question.,"Ali, Rushanara",Labour Party,"Ministry of Housing, Communities and Local Government",4138,F,Bethnal Green and Bow
Adjournment debates,678 cc1347-1353,2020-07-13,Independent Pharmacies,Agreed to on question.,"Seely, Bob",Conservative Party,Department of Health and Social Care,4681,M,Isle of Wight
Adjournment debates,678 cc1228-1234,2020-07-09,RAF Croughton Expansion: Diplomatic Implications,Agreed to on question.,"Leadsom, Andrea",Conservative Party,"Ministry of Housing, Communities and Local Government",4117,F,South Northamptonshire
Adjournment debates,678 cc1087-1094,2020-07-08,Free Travel for Under-18s: London,Agreed to on question.,"Cadbury, Ruth",Labour Party,Department for Transport,4389,F,Brentford and Isleworth
Adjournment debates,678 cc943-951,2020-07-07,Ipswich Hospital: Orthopaedic Services,Agreed to on question.,"Hunt, Tom",Conservative Party,Department of Health and Social Care,4771,M,Ipswich
Adjournment debates,678 cc795-802,2020-07-06,Policing in Devon and Cornwall,Agreed to on question.,"Double, Steve",Conservative Party,Home Office,4452,M,St Austell and Newquay
Adjournment debates,678 cc633-642,2020-07-02,Manchester Airport and the Local Economy,Agreed to on question.,"Mishra, Navendu",Labour Party,Department for Transport,4811,M,Stockport
Adjournment debates,678 cc480-7,2020-07-01,Covid-19: International Language Schools,Agreed to on question.,"Ansell, Caroline",Conservative Party,Department for International Trade,4512,F,Eastbourne
Adjournment debates,678 cc292-1575,2020-06-30,Black Women: Domestic Abuse,Agreed to on question.,"Hillier, Meg",Labour Party; Cooperative Party,Ministry of Justice,1524,F,Hackney South and Shoreditch
Adjournment debates,678 cc125-132,2020-06-29,Dronfield Station:150th Anniversary,Agreed to on question,"Rowley, Lee",Conservative Party,Department for Transport,4652,M,North East Derbyshire
Adjournment debates,677 cc1381-1576,2020-06-25,De La Rue: Gateshead,Agreed to on question.,"Twist, Liz",Labour Party,"Department for Business, Energy and Industrial Strategy",4618,F,Blaydon
Adjournment debates,677 cc1420-8,2020-06-24,Protection of UK Food Standards,Agreed to on question.,"Lamont, John",Conservative Party,"Department for Environment, Food and Rural Affairs",4608,M,"Berwickshire, Roxburgh and Selkirk"
Adjournment debates,677 cc366-1285,2020-06-23,Windrush Day 2020,Agreed to on question.,"Hayes, Helen",Labour Party,"Ministry of Housing, Communities and Local Government",4510,F,Dulwich and West Norwood
Adjournment debates,677 cc1115-1146,2020-06-22,BBC Regional Politics Coverage,Agreed to on question.,"Parish, Neil",Conservative Party,"Department for Digital, Culture, Media and Sport",4072,M,Tiverton and Honiton
Adjournment debates,677 cc1051-1060,2020-06-18,Education Standards: Stoke-on-Trent,Agreed to on question.,"Brereton, Jack",Conservative Party,Department for Education,4643,M,Stoke-on-Trent South
Adjournment debates,677 cc906-917,2020-06-17,Covid-19: Asylum Seeker Services in Glasgow,Agreed to on question.,"Stephens, Chris",Scottish National Party,Home Office,4463,M,Glasgow South West
Adjournment debates,677 cc775-781,2020-06-16,Transport in Carshalton and Wallington,Agreed to on question.,"Colburn, Elliot",Conservative Party,Department for Transport,4775,M,Carshalton and Wallington
Adjournment debates,677 cc611-345,2020-06-15,Caravan Industry: Hull and East Riding,Agreed to on question.,"Hardy, Emma",Labour Party,"Department for Business, Energy and Industrial Strategy",4645,F,Kingston upon Hull West and Hessle
Adjournment debates,677 cc281-502,2020-06-11,"Zoos, Aquariums and Wildlife Sanctuaries: Reopening",Agreed to on question.,"Rosindell, Andrew",Conservative Party,"Department for Environment, Food and Rural Affairs",1447,M,Romford
Adjournment debates,677 cc365-380,2020-06-10,Rolls-Royce (Redundancies),Agreed to on question.,"Newlands, Gavin",Scottish National Party,"Department for Business, Energy and Industrial Strategy",4420,M,Paisley and Renfrewshire North
Adjournment debates,677 cc262-270,2020-06-09,Kidsgrove Sports Centre,Agreed to on question.,"Gullis, Jonathan",Conservative Party,"Department for Digital, Culture, Media and Sport",4814,M,Stoke-on-Trent North
Adjournment debates,677 cc130-8,2020-06-08,Electoral Reform,Agreed to on question.,"Chamberlain, Wendy",Liberal Democrats,Cabinet Office,4765,F,North East Fife
Emergency debates,677 cc59-95,2020-06-08,House Business during the Pandemic,Motion that this House has considered the Conduct of House business during the pandemic. Emergency debate following a Standing Order No. 24 application. Agreed to on question.,"Carmichael, Alistair",Liberal Democrats,Leader of the House of Commons,1442,M,Orkney and Shetland
Adjournment debates,676 c1107,2020-06-04,Restoration of Canals,Agreed to on question.,"Williams, Craig",Conservative Party,"Department for Environment, Food and Rural Affairs",4438,M,Montgomeryshire
Adjournment debates,676 cc975-981,2020-06-03,Flood Defences: Tenbury Wells,Agreed to on question.,"Baldwin, Harriett",Conservative Party,"Department for Environment, Food and Rural Affairs",4107,F,West Worcestershire
Adjournment debates,676 cc816-824,2020-06-02,Private Car Parks,Agreed to on question.,"Nokes, Caroline",Conservative Party,"Ministry of Housing, Communities and Local Government",4048,F,Romsey and Southampton North
Adjournment debates,674 cc177-185,2020-03-23,A&E Departments: Staffing,Agreed to on question.,"Bryant, Chris",Labour Party,Department of Health and Social Care,1446,M,Rhondda
